source,value,target,town
Total Spending,1896360,Fixed Costs,Erving
Total Spending,283926,Intergovernmental Assessments,Erving
Total Spending,0,Other Expenditures,Erving
Total Spending,0,Debt Service,Erving
Residential Levy,14850279.21,Tax Levy,Essex
Open Space Levy,0,Tax Levy,Essex
Commercial Levy,836832.65,Tax Levy,Essex
Industrial Levy,235537.84,Tax Levy,Essex
Personal Prop Levy,229153.39,Tax Levy,Essex
Tax Levy,16151803.09,Total Revenue,Essex
State Aid,316717,Total Revenue,Essex
Local Receipts,1987592.91,Total Revenue,Essex
Enterprise & CPA Funds,3170752,Total Revenue,Essex
Other Revenue,2886360,Total Revenue,Essex
Total Revenue,18226994,Total Spending,Essex
Total Revenue,6286231,Budget Surplus,Essex
Budget Defecit,0,Total Spending,Essex
Total Spending,1517088,General Government,Essex
Total Spending,1310454,Police,Essex
Total Spending,299462,Fire,Essex
Total Spending,309938,Other Public Safety,Essex
Total Spending,10819503,Education,Essex
Total Spending,1388075,Public Works,Essex
Total Spending,275511,Human Services,Essex
Total Spending,197416,Culture and Recreation,Essex
Total Spending,1299865,Fixed Costs,Essex
Total Spending,32377,Intergovernmental Assessments,Essex
Total Spending,0,Other Expenditures,Essex
Total Spending,777305,Debt Service,Essex
Residential Levy,57028419.78,Tax Levy,Everett
Open Space Levy,0,Tax Levy,Everett
Commercial Levy,19449126.22,Tax Levy,Everett
Industrial Levy,18137715.46,Tax Levy,Everett
Personal Prop Levy,14343583.03,Tax Levy,Everett
Tax Levy,108958844.49,Total Revenue,Everett
State Aid,104970599,Total Revenue,Everett
Local Receipts,39573378,Total Revenue,Everett
Enterprise & CPA Funds,22474923,Total Revenue,Everett
Other Revenue,13467294,Total Revenue,Everett
Total Revenue,247254136,Total Spending,Everett
Total Revenue,42190902.49000001,Budget Surplus,Everett
Budget Defecit,0,Total Spending,Everett
Total Spending,10016145,General Government,Everett
Total Spending,16478684,Police,Everett
Total Spending,12489981,Fire,Everett
Total Spending,5542291,Other Public Safety,Everett
Total Spending,106510901,Education,Everett
Total Spending,13289156,Public Works,Everett
Total Spending,3756311,Human Services,Everett
Total Spending,1438686,Culture and Recreation,Everett
Total Spending,46594269,Fixed Costs,Everett
Total Spending,17966679,Intergovernmental Assessments,Everett
Total Spending,0,Other Expenditures,Everett
Total Spending,13171033,Debt Service,Everett
Residential Levy,24888752.98,Tax Levy,Fairhaven
Open Space Levy,0,Tax Levy,Fairhaven
Commercial Levy,5567870.4,Tax Levy,Fairhaven
Industrial Levy,708942.5,Tax Levy,Fairhaven
Personal Prop Levy,1619723.61,Tax Levy,Fairhaven
Tax Levy,32785289.49,Total Revenue,Fairhaven
State Aid,12449277,Total Revenue,Fairhaven
Local Receipts,8545547,Total Revenue,Fairhaven
Enterprise & CPA Funds,9912825.18,Total Revenue,Fairhaven
Other Revenue,5499418.11,Total Revenue,Fairhaven
Total Revenue,51478376,Total Spending,Fairhaven
Total Revenue,17713980.78,Budget Surplus,Fairhaven
Budget Defecit,0,Total Spending,Fairhaven
Total Spending,3574803,General Government,Fairhaven
Total Spending,4754680,Police,Fairhaven
Total Spending,3617677,Fire,Fairhaven
Total Spending,593251,Other Public Safety,Fairhaven
Total Spending,25377603,Education,Fairhaven
Total Spending,4284997,Public Works,Fairhaven
Total Spending,1017279,Human Services,Fairhaven
Total Spending,1238717,Culture and Recreation,Fairhaven
Total Spending,5357372,Fixed Costs,Fairhaven
Total Spending,672919,Intergovernmental Assessments,Fairhaven
Total Spending,0,Other Expenditures,Fairhaven
Total Spending,989078,Debt Service,Fairhaven
Residential Levy,86441312.56,Tax Levy,Fall River
Open Space Levy,0,Tax Levy,Fall River
Commercial Levy,20005289,Tax Levy,Fall River
Industrial Levy,11449639.94,Tax Levy,Fall River
Personal Prop Levy,8838632.35,Tax Levy,Fall River
Tax Levy,126734873.85,Total Revenue,Fall River
State Aid,206889601,Total Revenue,Fall River
Local Receipts,21670478,Total Revenue,Fall River
Enterprise & CPA Funds,53092383,Total Revenue,Fall River
Other Revenue,521559,Total Revenue,Fall River
Total Revenue,312711196,Total Spending,Fall River
Total Revenue,96197698.85000002,Budget Surplus,Fall River
Budget Defecit,0,Total Spending,Fall River
Total Spending,9053027,General Government,Fall River
Total Spending,23011924,Police,Fall River
Total Spending,16525671,Fire,Fall River
Total Spending,1184700,Other Public Safety,Fall River
Total Spending,154656017,Education,Fall River
Total Spending,17987691,Public Works,Fall River
Total Spending,2130307,Human Services,Fall River
Total Spending,3726071,Culture and Recreation,Fall River
Total Spending,37674921,Fixed Costs,Fall River
Total Spending,33286576,Intergovernmental Assessments,Fall River
Total Spending,0,Other Expenditures,Fall River
Total Spending,13474291,Debt Service,Fall River
Residential Levy,110621409.25,Tax Levy,Falmouth
Open Space Levy,28011.47,Tax Levy,Falmouth
Commercial Levy,5452711.75,Tax Levy,Falmouth
Industrial Levy,744013.49,Tax Levy,Falmouth
Personal Prop Levy,2340728.06,Tax Levy,Falmouth
Tax Levy,119186874.02,Total Revenue,Falmouth
State Aid,13969155,Total Revenue,Falmouth
Local Receipts,22296500,Total Revenue,Falmouth
Enterprise & CPA Funds,4711050,Total Revenue,Falmouth
Other Revenue,15028464,Total Revenue,Falmouth
Total Revenue,161177210,Total Spending,Falmouth
Total Revenue,14014833.01999998,Budget Surplus,Falmouth
Budget Defecit,0,Total Spending,Falmouth
Total Spending,9257815,General Government,Falmouth
Total Spending,6977239,Police,Falmouth
Total Spending,10870955,Fire,Falmouth
Total Spending,3126517,Other Public Safety,Falmouth
Total Spending,59295986,Education,Falmouth
Total Spending,16642028,Public Works,Falmouth
Total Spending,2208292,Human Services,Falmouth
Total Spending,5184382,Culture and Recreation,Falmouth
Total Spending,27045836,Fixed Costs,Falmouth
Total Spending,5020324,Intergovernmental Assessments,Falmouth
Total Spending,1107606,Other Expenditures,Falmouth
Total Spending,14440230,Debt Service,Falmouth
Residential Levy,50611382.03,Tax Levy,Fitchburg
Open Space Levy,0,Tax Levy,Fitchburg
Commercial Levy,5308657.14,Tax Levy,Fitchburg
Industrial Levy,3078980.11,Tax Levy,Fitchburg
Personal Prop Levy,3847636.5,Tax Levy,Fitchburg
Tax Levy,62846655.78,Total Revenue,Fitchburg
State Aid,81552168,Total Revenue,Fitchburg
Local Receipts,12226056.22,Total Revenue,Fitchburg
Enterprise & CPA Funds,19621584,Total Revenue,Fitchburg
Other Revenue,9749991.13,Total Revenue,Fitchburg
Total Revenue,143909801,Total Spending,Fitchburg
Total Revenue,42086654.129999995,Budget Surplus,Fitchburg
Budget Defecit,0,Total Spending,Fitchburg
Total Spending,5695283,General Government,Fitchburg
Total Spending,9374018,Police,Fitchburg
Total Spending,8964887,Fire,Fitchburg
Total Spending,705864,Other Public Safety,Fitchburg
Total Spending,83492971,Education,Fitchburg
Total Spending,9311759,Public Works,Fitchburg
Total Spending,1642490,Human Services,Fitchburg
Total Spending,1550889,Culture and Recreation,Fitchburg
Total Spending,19533208,Fixed Costs,Fitchburg
Total Spending,1188366,Intergovernmental Assessments,Fitchburg
Total Spending,139672,Other Expenditures,Fitchburg
Total Spending,2310394,Debt Service,Fitchburg
Residential Levy,601463.84,Tax Levy,Florida
Open Space Levy,0,Tax Levy,Florida
Commercial Levy,25215.21,Tax Levy,Florida
Industrial Levy,1983045.9,Tax Levy,Florida
Personal Prop Levy,254838.19,Tax Levy,Florida
Tax Levy,2864563.14,Total Revenue,Florida
State Aid,833532,Total Revenue,Florida
Local Receipts,420766,Total Revenue,Florida
Enterprise & CPA Funds,0,Total Revenue,Florida
Other Revenue,350000,Total Revenue,Florida
Total Revenue,3658506,Total Spending,Florida
Total Revenue,810355.1400000006,Budget Surplus,Florida
Budget Defecit,0,Total Spending,Florida
Total Spending,355113,General Government,Florida
Total Spending,12702,Police,Florida
Total Spending,96896,Fire,Florida
Total Spending,3651,Other Public Safety,Florida
Total Spending,1710249,Education,Florida
Total Spending,778777,Public Works,Florida
Total Spending,63676,Human Services,Florida
Total Spending,29170,Culture and Recreation,Florida
Total Spending,542846,Fixed Costs,Florida
Total Spending,61614,Intergovernmental Assessments,Florida
Total Spending,3812,Other Expenditures,Florida
Total Spending,0,Debt Service,Florida
Residential Levy,43601064.39,Tax Levy,Foxborough
Open Space Levy,0,Tax Levy,Foxborough
Commercial Levy,10597260.03,Tax Levy,Foxborough
Industrial Levy,1440839.93,Tax Levy,Foxborough
Personal Prop Levy,2449451.39,Tax Levy,Foxborough
Tax Levy,58088615.74,Total Revenue,Foxborough
State Aid,11887321,Total Revenue,Foxborough
Local Receipts,11726339,Total Revenue,Foxborough
Enterprise & CPA Funds,9478042,Total Revenue,Foxborough
Other Revenue,3891837,Total Revenue,Foxborough
Total Revenue,82443583,Total Spending,Foxborough
Total Revenue,12628571.74000001,Budget Surplus,Foxborough
Budget Defecit,0,Total Spending,Foxborough
Total Spending,4258453,General Government,Foxborough
Total Spending,5218353,Police,Foxborough
Total Spending,5071623,Fire,Foxborough
Total Spending,999922,Other Public Safety,Foxborough
Total Spending,40058525,Education,Foxborough
Total Spending,2591596,Public Works,Foxborough
Total Spending,1219629,Human Services,Foxborough
Total Spending,1183886,Culture and Recreation,Foxborough
Total Spending,14776232,Fixed Costs,Foxborough
Total Spending,2758377,Intergovernmental Assessments,Foxborough
Total Spending,840092,Other Expenditures,Foxborough
Total Spending,3466895,Debt Service,Foxborough
Residential Levy,134332527.95,Tax Levy,Framingham
Open Space Levy,0,Tax Levy,Framingham
Commercial Levy,49931966.23,Tax Levy,Framingham
Industrial Levy,11333137.66,Tax Levy,Framingham
Personal Prop Levy,12312094.94,Tax Levy,Framingham
Tax Levy,207909726.78,Total Revenue,Framingham
State Aid,83256855,Total Revenue,Framingham
Local Receipts,23600961,Total Revenue,Framingham
Enterprise & CPA Funds,64230935,Total Revenue,Framingham
Other Revenue,7991103.64,Total Revenue,Framingham
Total Revenue,315790866,Total Spending,Framingham
Total Revenue,71198715.41999996,Budget Surplus,Framingham
Budget Defecit,0,Total Spending,Framingham
Total Spending,11486736,General Government,Framingham
Total Spending,16560495,Police,Framingham
Total Spending,15915125,Fire,Framingham
Total Spending,1412000,Other Public Safety,Framingham
Total Spending,163529809,Education,Framingham
Total Spending,13358450,Public Works,Framingham
Total Spending,1849526,Human Services,Framingham
Total Spending,6671298,Culture and Recreation,Framingham
Total Spending,62229250,Fixed Costs,Framingham
Total Spending,8578452,Intergovernmental Assessments,Framingham
Total Spending,54724,Other Expenditures,Framingham
Total Spending,14145001,Debt Service,Framingham
Residential Levy,73928517.03,Tax Levy,Franklin
Open Space Levy,0,Tax Levy,Franklin
Commercial Levy,5931525.33,Tax Levy,Franklin
Industrial Levy,8265717.93,Tax Levy,Franklin
Personal Prop Levy,2897858.35,Tax Levy,Franklin
Tax Levy,91023618.64,Total Revenue,Franklin
State Aid,33202717,Total Revenue,Franklin
Local Receipts,11009109,Total Revenue,Franklin
Enterprise & CPA Funds,21783486,Total Revenue,Franklin
Other Revenue,4953020.12,Total Revenue,Franklin
Total Revenue,136475658,Total Spending,Franklin
Total Revenue,25496292.75999999,Budget Surplus,Franklin
Budget Defecit,0,Total Spending,Franklin
Total Spending,11807579,General Government,Franklin
Total Spending,6532565,Police,Franklin
Total Spending,7330540,Fire,Franklin
Total Spending,803797,Other Public Safety,Franklin
Total Spending,73814315,Education,Franklin
Total Spending,6329336,Public Works,Franklin
Total Spending,921691,Human Services,Franklin
Total Spending,2004709,Culture and Recreation,Franklin
Total Spending,13197124,Fixed Costs,Franklin
Total Spending,6696774,Intergovernmental Assessments,Franklin
Total Spending,371368,Other Expenditures,Franklin
Total Spending,6665860,Debt Service,Franklin
Residential Levy,17200444.4,Tax Levy,Freetown
Open Space Levy,0,Tax Levy,Freetown
Commercial Levy,1647016.77,Tax Levy,Freetown
Industrial Levy,5448284.34,Tax Levy,Freetown
Personal Prop Levy,1797084.76,Tax Levy,Freetown
Tax Levy,26092830.27,Total Revenue,Freetown
State Aid,2544002,Total Revenue,Freetown
Local Receipts,3073000,Total Revenue,Freetown
Enterprise & CPA Funds,1353941,Total Revenue,Freetown
Other Revenue,4756116.37,Total Revenue,Freetown
Total Revenue,29119402,Total Spending,Freetown
Total Revenue,8700487.64,Budget Surplus,Freetown
Budget Defecit,0,Total Spending,Freetown
Total Spending,2024653,General Government,Freetown
Total Spending,2871295,Police,Freetown
Total Spending,2033317,Fire,Freetown
Total Spending,261707,Other Public Safety,Freetown
Total Spending,14293156,Education,Freetown
Total Spending,1966060,Public Works,Freetown
Total Spending,411332,Human Services,Freetown
Total Spending,310621,Culture and Recreation,Freetown
Total Spending,3231600,Fixed Costs,Freetown
Total Spending,311413,Intergovernmental Assessments,Freetown
Total Spending,136598,Other Expenditures,Freetown
Total Spending,1267650,Debt Service,Freetown
Residential Levy,26161133.54,Tax Levy,Gardner
Open Space Levy,0,Tax Levy,Gardner
Commercial Levy,2428231.72,Tax Levy,Gardner
Industrial Levy,1212317.9,Tax Levy,Gardner
Personal Prop Levy,1722055.58,Tax Levy,Gardner
Tax Levy,31523738.74,Total Revenue,Gardner
State Aid,29832375,Total Revenue,Gardner
Local Receipts,5523901.42,Total Revenue,Gardner
Enterprise & CPA Funds,10432229.62,Total Revenue,Gardner
Other Revenue,3589476.35,Total Revenue,Gardner
Total Revenue,60420455,Total Spending,Gardner
Total Revenue,20481266.129999995,Budget Surplus,Gardner
Budget Defecit,0,Total Spending,Gardner
Total Spending,3427133,General Government,Gardner
Total Spending,3611267,Police,Gardner
Total Spending,3355392,Fire,Gardner
Total Spending,2303656,Other Public Safety,Gardner
Total Spending,28784906,Education,Gardner
Total Spending,3986437,Public Works,Gardner
Total Spending,1108503,Human Services,Gardner
Total Spending,1051311,Culture and Recreation,Gardner
Total Spending,6911138,Fixed Costs,Gardner
Total Spending,1921942,Intergovernmental Assessments,Gardner
Total Spending,380000,Other Expenditures,Gardner
Total Spending,3578770,Debt Service,Gardner
Residential Levy,5627294.07,Tax Levy,Aquinnah
Open Space Levy,0,Tax Levy,Aquinnah
Commercial Levy,58106.33,Tax Levy,Aquinnah
Industrial Levy,1429.84,Tax Levy,Aquinnah
Personal Prop Levy,47952.31,Tax Levy,Aquinnah
Tax Levy,5734782.55,Total Revenue,Aquinnah
State Aid,9797,Total Revenue,Aquinnah
Local Receipts,460000,Total Revenue,Aquinnah
Enterprise & CPA Funds,691847,Total Revenue,Aquinnah
Other Revenue,131587,Total Revenue,Aquinnah
Total Revenue,6214733,Total Spending,Aquinnah
Total Revenue,813280.5499999998,Budget Surplus,Aquinnah
Budget Defecit,0,Total Spending,Aquinnah
Total Spending,1254008,General Government,Aquinnah
Total Spending,707959,Police,Aquinnah
Total Spending,114769,Fire,Aquinnah
Total Spending,518366,Other Public Safety,Aquinnah
Total Spending,2011687,Education,Aquinnah
Total Spending,350273,Public Works,Aquinnah
Total Spending,76061,Human Services,Aquinnah
Total Spending,264565,Culture and Recreation,Aquinnah
Total Spending,729647,Fixed Costs,Aquinnah
Total Spending,0,Intergovernmental Assessments,Aquinnah
Total Spending,105553,Other Expenditures,Aquinnah
Total Spending,81845,Debt Service,Aquinnah
Residential Levy,21380887.1,Tax Levy,Georgetown
Open Space Levy,0,Tax Levy,Georgetown
Commercial Levy,755677.29,Tax Levy,Georgetown
Industrial Levy,1105842.78,Tax Levy,Georgetown
Personal Prop Levy,319362.36,Tax Levy,Georgetown
Tax Levy,23561769.53,Total Revenue,Georgetown
State Aid,6903683,Total Revenue,Georgetown
Local Receipts,3686377,Total Revenue,Georgetown
Enterprise & CPA Funds,5657293,Total Revenue,Georgetown
Other Revenue,1517661.21,Total Revenue,Georgetown
Total Revenue,34516597,Total Spending,Georgetown
Total Revenue,6810186.740000002,Budget Surplus,Georgetown
Budget Defecit,0,Total Spending,Georgetown
Total Spending,2036500,General Government,Georgetown
Total Spending,1999063,Police,Georgetown
Total Spending,632124,Fire,Georgetown
Total Spending,172215,Other Public Safety,Georgetown
Total Spending,18206867,Education,Georgetown
Total Spending,1168070,Public Works,Georgetown
Total Spending,407193,Human Services,Georgetown
Total Spending,553954,Culture and Recreation,Georgetown
Total Spending,6486720,Fixed Costs,Georgetown
Total Spending,407609,Intergovernmental Assessments,Georgetown
Total Spending,0,Other Expenditures,Georgetown
Total Spending,2446282,Debt Service,Georgetown
Residential Levy,2471392.34,Tax Levy,Gill
Open Space Levy,0,Tax Levy,Gill
Commercial Levy,210966.94,Tax Levy,Gill
Industrial Levy,295732.01,Tax Levy,Gill
Personal Prop Levy,171286.63,Tax Levy,Gill
Tax Levy,3149377.92,Total Revenue,Gill
State Aid,324723,Total Revenue,Gill
Local Receipts,318200,Total Revenue,Gill
Enterprise & CPA Funds,0,Total Revenue,Gill
Other Revenue,464893,Total Revenue,Gill
